question,type,value,notes
1,type,float,
2,bool,True,
3,bool,True,
4,int,7,
5,int,10,
6,str,'positive',
7,int,14,
8,int,6,
9,list,"[[1, 6, {'x': 8, 'y': 5}],
 [3, 4, {'x': 9, 'y': 2}],
 [5, 2, {'x': 3, 'y': 1, 'z': 3.14}]]",
10,int,8,
11,list,"[[1, 6, {'x': 8, 'y': 5}],
 [3, 9999, {'x': 9, 'y': 2}],
 [5, 2, {'x': 3, 'y': 1, 'z': 3.14}]]",
12,int,10007,
13,list,"[[5, 2, {'x': 3, 'y': 1, 'z': 3.14}],
 [1, 6, {'x': 8, 'y': 5}],
 [3, 9999, {'x': 9, 'y': 2}]]",
14,float,338.383886588076,tolerance=2
15,float,1.5,
16,float,"float(""nan"")",
17,list,"[2013, 2014, 2015, 2016, 2017, 2018]",
18,int,2371960,
19,int,10285814,
20,float,0.12375641594322287,
21,dict,"{'Illinois': 8.524143737625552,
 'Indiana': 9.463486214247707,
 'Iowa': 9.468929459023103,
 'Michigan': 8.936374942955922,
 'Minnesota': 7.491847623005652,
 'Wisconsin': 9.582497175331794}",tolerance=0.01
22,Figure,plt.Figure(),
23,Figure,plt.Figure(),
24,Figure,plt.Figure(),
25,str,'commit 4e4128313b8d5b5e5d04f2e8e585f64f7c5831a4',
26,list,"['4e4128313b8d5b5e5d04f2e8e585f64f7c5831a4',
 'f637df3f45bc389e1035cc3aadcf5d81a55f0dc4',
 'c10b5a6cb4f06c96f6f221df2d5ec33af767d5c5',
 'f37e610ce055a3d894baac2d9449e6eb77c72320',
 '6f5ca9327e986315ffcacddce5d9d6195c0913b7',
 '761627a3ad9ee681f27211326e9149f01764ceee',
 'b0df6dbe111f9e28fc3a9c9b841cde5c20c365f9',
 '6d7beafb8e79b7a92fed8e67673a33bb7f607dbe']",
27,dict,"{'4e4128313b8d5b5e5d04f2e8e585f64f7c5831a4': 43,
 'f637df3f45bc389e1035cc3aadcf5d81a55f0dc4': 40,
 'c10b5a6cb4f06c96f6f221df2d5ec33af767d5c5': 40,
 'f37e610ce055a3d894baac2d9449e6eb77c72320': 40,
 '6f5ca9327e986315ffcacddce5d9d6195c0913b7': 39,
 '761627a3ad9ee681f27211326e9149f01764ceee': 35,
 'b0df6dbe111f9e28fc3a9c9b841cde5c20c365f9': 35,
 '6d7beafb8e79b7a92fed8e67673a33bb7f607dbe': 21}",
28,dict,"{'A': 1, 'B': 1, 'C': 2}",
29,list,['f637df3f45bc389e1035cc3aadcf5d81a55f0dc4'],
30,Figure,plt.Figure(),
31,Figure,plt.Figure(),
32,Figure,plt.Figure(),
